time,x,y,z
0,0.576,0.002,0.434
0.05,0.5219,0.0682,0.5124
0.1,0.4687,0.1245,0.5865
0.15,0.4167,0.1712,0.6564
0.2,0.3662,0.2089,0.7223
0.25,0.3174,0.238,0.7842
0.3,0.2707,0.259,0.8422
0.35,0.2264,0.2724,0.8965
0.4,0.1848,0.2788,0.9471
0.45,0.1462,0.2785,0.9941
0.5,0.1108,0.272,1.0378
0.55,0.0789,0.2599,1.078
0.6,0.0509,0.2426,1.115
0.65,0.0271,0.2205,1.1489
0.7,0.0076,0.1943,1.1798
0.75,-0.007,0.1643,1.2077
0.8,-0.0167,0.131,1.2328
0.85,-0.021,0.095,1.2552
0.9,-0.0197,0.0566,1.2749
0.95,-0.0124,0.0165,1.2922
1,0.001,-0.025,1.307
